FECHA,LATITUD,LONGITUD,PRODUCTO/CULTIVO,TIPO DE PREDIO,DEPARTAMENTO/PROVINCIA,MUNICIPIO/CANTON,CONDICIÓN
16/10/2024,-3.94421,-70.16403,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.94339,-70.16358,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.94295,-70.16337,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.94113,-70.16216,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
17/10/2024,-3.86537,-70.21585,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
17/10/2024,-3.95379,-70.16607,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
17/10/2024,-3.94649,-70.1644,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
17/10/2024,-3.94571,-70.16453,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
23/10/2024,-3.82,-70.24677,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
22/10/2024,-3.82132,-70.24916,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
21/10/2024,-4.16745,-69.94554,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
21/10/2024,-4.16753,-69.94573,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
23/10/2024,-3.81901,-70.24291,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
23/10/2024,-3.81909,-70.24352,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
23/10/2024,-3.8192,-70.24523,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
23/10/2024,-3.81945,-70.24538,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
15/10/2024,-3.8624,-70.20409,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
4/10/2024,-4.16604,-69.95329,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.94171,-70.1615,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.94035,-70.16026,BANANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
16/10/2024,-3.93936,-70.15959,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
15/10/2024,-3.8607,-70.20326,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.82395,-70.25039,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.8238,-70.25083,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
14/11/2024,-3.79493,-70.34411,PLÁTANO,COMERCIAL,AMAZONAS,PUERTO NARIÑO,AUSENTE
14/11/2024,-3.79671,-70.3366,BANANO,COMERCIAL,AMAZONAS,PUERTO NARIÑO,AUSENTE
19/11/2024,-3.82012,-70.24874,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.82385,-70.251,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.82348,-70.25427,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.82339,-70.25037,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94509,-70.16794,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94768,-70.16836,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
21/11/2024,-3.81858,-70.254,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
19/11/2024,-3.82006,-70.24894,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94629,-70.15901,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94142,-70.16813,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94431,-70.16734,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
26/11/2024,-3.94468,-70.16769,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
29/10/2024,-3.8414,-70.21033,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
25/10/2024,-4.10032,-69.94157,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
24/10/2024,-3.82178,-70.24743,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
24/10/2024,-3.82191,-70.14806,PLÁTANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
30/10/2024,-3.8438,-70.21638,BANANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
29/10/2024,-3.84548,-70.2225,BANANO,PARCELA/TRASPATIO,AMAZONAS,LETICIA,AUSENTE
29/10/2024,-3.84248,-70.21812,PLÁTANO,COMERCIAL,AMAZONAS,LETICIA,AUSENTE
