Fecha,Departamento,Provincia,Distrito,Condición ,Producto,LATITUD,LONGITUD,Zona horaria
1/9/24 15:11,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.224083190264601,-79.97344108653347,17
1/9/24 15:10,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.224062716647829,-79.96099905078067,17
1/9/24 15:10,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.224481218889302,-79.97346750639575,17
1/10/24 15:22,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.325200859665722,-79.92191066384544,17
1/10/24 15:21,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.3228189600816895,-79.9253258217277,17
1/10/24 15:22,PIURA,MORROPON,BUENOS AIRES,Negativo ,Banano,-5.200190540425915,-80.05143266479142,17
1/11/24 14:39,UCAYALI,PADRE ABAD,PADRE ABAD,Negativo,Banano / Platano,-9.080201502548293,-75.4448419015557,18
1/11/24 14:37,UCAYALI,PADRE ABAD,PADRE ABAD,Negativo,Banano / Platano,-9.049732724558217,-75.4986066394863,18
1/11/24 16:30,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Negativo,Banano,-6.051571850015797,-79.82925801694441,17
1/11/24 16:32,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Negativo,Banano,-6.053451281963804,-79.83261497321541,17
1/11/24 16:33,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Negativo,Banano,-6.051522080762948,-79.83134518988479,17
1/11/24 16:33,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Negativo,Banano,-6.055061828972039,-79.83290966986776,17
1/11/24 16:34,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,Negativo,Banano,-6.087985180190085,-79.64401176940808,17
1/11/24 16:34,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,Negativo,Banano,-6.082279018943003,-79.63701508463258,17
1/11/24 16:35,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,Negativo,Plátano,-6.1473892819263,-79.7004273302391,17
1/11/24 16:36,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,Negativo,Banano,-6.123769371082719,-79.68679551345274,17
1/11/24 14:36,UCAYALI,PADRE ABAD,IRAZOLA,Negativo,Banano / Platano,-8.815232787799822,-75.21924270946069,18
1/11/24 14:39,UCAYALI,PADRE ABAD,IRAZOLA,Negativo,Banano / Platano,-8.797263943763562,-75.31575348276303,18
1/10/24 10:54,MADRE DE DIOS,TAMBOPATA,LABERINTO,Negativo,Banano / Platano,-12.751535768835142,-75.52550166857729,19
1/11/24 15:56,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.909892176221218,-80.97067720237874,17
1/11/24 15:57,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.909503187714411,-80.97107408255826,17
1/11/24 15:59,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.90974752585514,-80.97295015327936,17
1/11/24 15:58,PIURA,PAITA,LA HUACA,Positivo ,Banano,-4.911421203801812,-80.97416773778023,17
1/11/24 15:16,PIURA,SULLANA,SULLANA,Negativo ,Banano,-4.828303735374203,-80.58990351494757,17
1/11/24 15:16,PIURA,SULLANA,SULLANA,Negativo ,Banano,-4.809589078017084,-80.59396384337886,17
1/11/24 15:59,PIURA,SULLANA,QUERECOTILLO,Positivo ,Banano,-4.792863392776646,-80.61160364166805,17
1/11/24 15:21,PIURA,SULLANA,MARCAVELICA,Negativo ,Banano,-4.834040881827685,-80.79206730198857,17
1/11/24 15:56,PIURA,SULLANA,MARCAVELICA,Negativo ,Banano,-4.823385704071252,-80.79779724063563,17
