FECHA,TIPO DE PREDIO,DEPARTAMENTO/PROVINCIA,MUNICIPIO/CANTÓN,CONDICIÓN,LATITUD,LONGITUD
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.966084373,-79.62700758
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.96611733,-79.63168553
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.965685396,-79.62618942
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.956303345,-79.64578547
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.956293859,-79.64542563
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Azuay,Camilo Ponce Enríquez,AUSENTE,-2.957839899,-79.64495596
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Bolívar,San Miguel,AUSENTE,-1.758441715,-79.15214163
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Bolívar,San Miguel,AUSENTE,-1.758361666,-79.15348066
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Bolívar,San Miguel,AUSENTE,-1.759080207,-79.15768553
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.360829635,-79.41128383
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.441929449,-79.37058541
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.362553962,-79.40866553
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Cañar,La Troncal,AUSENTE,-2.419764512,-79.34142721
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.464434028,-79.38897256
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Cañar,La Troncal,AUSENTE,-2.418840942,-79.34049327
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Cañar,La Troncal,AUSENTE,-2.419734705,-79.33925144
9/12/2024,"URBANA (PARQUE, AVENIDA, JARDÍN)",Cañar,La Troncal,AUSENTE,-2.418884599,-79.3392255
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.363693886,-79.40903286
9/12/2024,LUGAR DE PRODUCCIÓN (CULTIVO),Cañar,La Troncal,AUSENTE,-2.480880466,-79.38587761
